ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,-hotdogturtle--,Advokaiser,Akkrillic,Arti,azuarc,banshiryuu,barreldragon88,Bluenugget64,cakophon,ChichiriMuyo,Citrus_,Collen,DireKrow,DoctorJimmy133,dowolf,DragonImps,FFDragon,FL81,Flamander,GameBopAdv,handsomeboy2012,Haste_2,HBJDubs,Hbthebattle,Janus5k,JONALEON1,KanzarisKelshen,kaonashi1,KCF0107,Kikoman589,loweffortmemes,Mac Arrowny,MadamEglat,malyg,missadelyn,MoonRunes,Mr Lasastryke,Mythiot,NFUN,PabloSmith,PIayer_0,Place,Plasman,Prody Parrot,pyresword,Pyromide,quantumB,Raetsel_Lapin,Raycon,rwlh,Sceptilesolar,sergiocornaga,Shonen_Bat,slykirby,Snake5555555555,Snowva,SuperNiceDog,tazzyboyishere,Team Rocket Elite,tennisboy213,th3l3fty,TheArkOfTurus,Toxtricity,trdl23,trizob,TsunamiXXVIII,UF8,xarlable,Xiahou Shake,xp1337,xx521xx,ZelRaat,Zigzagoon,Zyxyz0
1,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,35,27,62,8,Halo 3 - One Final Effort,,Final Fantasy XIV - Ink Long Dry,,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Halo 3 - One Final Effort,Halo 3 - One Final Effort,,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Halo 3 - One Final Effort,Halo 3 - One Final Effort,,Final Fantasy XIV - Ink Long Dry,Final Fantasy XIV - Ink Long Dry,Final Fantasy XIV - Ink Long Dry,Halo 3 - One Final Effort,Halo 3 - One Final Effort,,Halo 3 - One Final Effort,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Final Fantasy XIV - Ink Long Dry,Halo 3 - One Final Effort,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Final Fantasy XIV - Ink Long Dry,,Final Fantasy XIV - Ink Long Dry,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Final Fantasy XIV - Ink Long Dry,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Halo 3 - One Final Effort,Halo 3 - One Final Effort,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,,Halo 3 - One Final Effort,,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Final Fantasy XIV - Ink Long Dry,,Halo 3 - One Final Effort,,Halo 3 - One Final Effort,Halo 3 - One Final Effort,Halo 3 - One Final Effort,Halo 3 - One Final Effort,Halo 3 - One Final Effort,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Final Fantasy XIV - Ink Long Dry,Final Fantasy XIV - Ink Long Dry,,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Final Fantasy XIV - Ink Long Dry,,Halo 3 - One Final Effort,Halo 3 - One Final Effort,Final Fantasy XIV - Ink Long Dry,Halo 3 - One Final Effort,Halo 3 - One Final Effort
2,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,38,23,61,15,Ciel nosurge - LastPandemic,,Ciel nosurge - LastPandemic,,The Legend of Zelda - Title,The Legend of Zelda - Title,The Legend of Zelda - Title,Ciel nosurge - LastPandemic,,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,,The Legend of Zelda - Title,The Legend of Zelda - Title,The Legend of Zelda - Title,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,,Ciel nosurge - LastPandemic,,The Legend of Zelda - Title,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,The Legend of Zelda - Title,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,Ciel nosurge - LastPandemic,,The Legend of Zelda - Title,,The Legend of Zelda - Title,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,,Ciel nosurge - LastPandemic,,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,The Legend of Zelda - Title,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,,Ciel nosurge - LastPandemic,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,Ciel nosurge - LastPandemic,The Legend of Zelda - Title,Ciel nosurge - LastPandemic
3,Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,29,30,59,1,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,Fire Emblem: Fates - End of All (Land),,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),,Fire Emblem: Fates - End of All (Land),Fire Emblem: Fates - End of All (Land),Fire Emblem: Fates - End of All (Land),Fire Emblem: Fates - End of All (Land),Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,,Fire Emblem: Fates - End of All (Land),,Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),,Fire Emblem: Fates - End of All (Land),,Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land),Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Fire Emblem: Fates - End of All (Land)
4,Deltarune - Rude Buster,Sound Voltex II - Brain Power,44,15,59,29,Deltarune - Rude Buster,,Deltarune - Rude Buster,Sound Voltex II - Brain Power,Sound Voltex II - Brain Power,Deltarune - Rude Buster,Sound Voltex II - Brain Power,Deltarune - Rude Buster,,,Deltarune - Rude Buster,,,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,Sound Voltex II - Brain Power,Deltarune - Rude Buster,Sound Voltex II - Brain Power,Deltarune - Rude Buster,,Deltarune - Rude Buster,Deltarune - Rude Buster,,Deltarune - Rude Buster,Sound Voltex II - Brain Power,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,,Deltarune - Rude Buster,,Sound Voltex II - Brain Power,Deltarune - Rude Buster,Sound Voltex II - Brain Power,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,,Deltarune - Rude Buster,,Deltarune - Rude Buster,Sound Voltex II - Brain Power,Deltarune - Rude Buster,,Deltarune - Rude Buster,Sound Voltex II - Brain Power,Deltarune - Rude Buster,Deltarune - Rude Buster,Sound Voltex II - Brain Power,,Sound Voltex II - Brain Power,Sound Voltex II - Brain Power,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,Sound Voltex II - Brain Power,Deltarune - Rude Buster,Deltarune - Rude Buster,Deltarune - Rude Buster,Sound Voltex II - Brain Power,
5,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,25,35,60,10,Mighty Switch Force! - Love You Love You Love,,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,,,Spectral Gene - Silver Star Crysta Kaleido,,,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,Spectral Gene - Silver Star Crysta Kaleido,,Spectral Gene - Silver Star Crysta Kaleido,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,Spectral Gene - Silver Star Crysta Kaleido,,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,,Mighty Switch Force! - Love You Love You Love,,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,,Spectral Gene - Silver Star Crysta Kaleido,,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,Mighty Switch Force! - Love You Love You Love,Mighty Switch Force! - Love You Love You Love,Spectral Gene - Silver Star Crysta Kaleido,
6,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,32,25,57,7,Atelier Ayesha - Invitation Flower ~ Autumn,,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,Crypt of the Necrodancer - Six Feet Thunder,,,Atelier Ayesha - Invitation Flower ~ Autumn,,,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,,,Atelier Ayesha - Invitation Flower ~ Autumn,,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,,Crypt of the Necrodancer - Six Feet Thunder,Crypt of the Necrodancer - Six Feet Thunder,Crypt of the Necrodancer - Six Feet Thunder,,,Crypt of the Necrodancer - Six Feet Thunder,,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,Crypt of the Necrodancer - Six Feet Thunder,Crypt of the Necrodancer - Six Feet Thunder,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,Crypt of the Necrodancer - Six Feet Thunder,
7,Fire Emblem: Awakening - Id ~ Purpose,LSD Dream Emulator - Fax Factory,38,18,56,20,Fire Emblem: Awakening - Id ~ Purpose,,LSD Dream Emulator - Fax Factory,,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,,Fire Emblem: Awakening - Id ~ Purpose,,,LSD Dream Emulator - Fax Factory,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,,Fire Emblem: Awakening - Id ~ Purpose,LSD Dream Emulator - Fax Factory,LSD Dream Emulator - Fax Factory,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,,Fire Emblem: Awakening - Id ~ Purpose,,,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,LSD Dream Emulator - Fax Factory,LSD Dream Emulator - Fax Factory,Fire Emblem: Awakening - Id ~ Purpose,,LSD Dream Emulator - Fax Factory,LSD Dream Emulator - Fax Factory,Fire Emblem: Awakening - Id ~ Purpose,,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,LSD Dream Emulator - Fax Factory,,LSD Dream Emulator - Fax Factory,,LSD Dream Emulator - Fax Factory,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,,Fire Emblem: Awakening - Id ~ Purpose,LSD Dream Emulator - Fax Factory,LSD Dream Emulator - Fax Factory,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,LSD Dream Emulator - Fax Factory,LSD Dream Emulator - Fax Factory,Fire Emblem: Awakening - Id ~ Purpose,Fire Emblem: Awakening - Id ~ Purpose,,Fire Emblem: Awakening - Id ~ Purpose,LSD Dream Emulator - Fax Factory,,,Fire Emblem: Awakening - Id ~ Purpose,LSD Dream Emulator - Fax Factory,LSD Dream Emulator - Fax Factory,,
8,jubeat saucer fulfill - Scars of FAUNA,Neotokyo - Imbrium,31,24,55,7,jubeat saucer fulfill - Scars of FAUNA,,jubeat saucer fulfill - Scars of FAUNA,,Neotokyo - Imbrium,jubeat saucer fulfill - Scars of FAUNA,Neotokyo - Imbrium,jubeat saucer fulfill - Scars of FAUNA,,,Neotokyo - Imbrium,,,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,Neotokyo - Imbrium,Neotokyo - Imbrium,Neotokyo - Imbrium,,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,Neotokyo - Imbrium,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,Neotokyo - Imbrium,,Neotokyo - Imbrium,,,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,Neotokyo - Imbrium,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,Neotokyo - Imbrium,jubeat saucer fulfill - Scars of FAUNA,,Neotokyo - Imbrium,Neotokyo - Imbrium,jubeat saucer fulfill - Scars of FAUNA,,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,,jubeat saucer fulfill - Scars of FAUNA,,Neotokyo - Imbrium,Neotokyo - Imbrium,Neotokyo - Imbrium,,jubeat saucer fulfill - Scars of FAUNA,Neotokyo - Imbrium,Neotokyo - Imbrium,Neotokyo - Imbrium,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,jubeat saucer fulfill - Scars of FAUNA,Neotokyo - Imbrium,jubeat saucer fulfill - Scars of FAUNA,Neotokyo - Imbrium,jubeat saucer fulfill - Scars of FAUNA,,jubeat saucer fulfill - Scars of FAUNA,Neotokyo - Imbrium,,,Neotokyo - Imbrium,jubeat saucer fulfill - Scars of FAUNA,Neotokyo - Imbrium,,
9,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Persona 3 - Memories of You,26,27,53,1,Persona 3 - Memories of You,,Persona 3 - Memories of You,,Persona 3 - Memories of You,Persona 3 - Memories of You,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Persona 3 - Memories of You,Persona 3 - Memories of You,,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),,,Persona 3 - Memories of You,Persona 3 - Memories of You,Persona 3 - Memories of You,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Persona 3 - Memories of You,,Persona 3 - Memories of You,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Persona 3 - Memories of You,Persona 3 - Memories of You,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),,,Persona 3 - Memories of You,Persona 3 - Memories of You,Persona 3 - Memories of You,Persona 3 - Memories of You,,Persona 3 - Memories of You,Persona 3 - Memories of You,,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Persona 3 - Memories of You,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),,Persona 3 - Memories of You,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Persona 3 - Memories of You,,,Persona 3 - Memories of You,,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),,Persona 3 - Memories of You,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Persona 3 - Memories of You,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Persona 3 - Memories of You,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),,,Drakengard 3 - Kuroi Ita ~ The Black Song (International Version),Persona 3 - Memories of You,Persona 3 - Memories of You,,
10,Terraria Calamity - Scourge of the Universe,Kirby's Return to Dream Land - Waterworks Area,44,14,58,30,Terraria Calamity - Scourge of the Universe,,Terraria Calamity - Scourge of the Universe,,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Kirby's Return to Dream Land - Waterworks Area,,,Kirby's Return to Dream Land - Waterworks Area,,,Kirby's Return to Dream Land - Waterworks Area,Terraria Calamity - Scourge of the Universe,Kirby's Return to Dream Land - Waterworks Area,Terraria Calamity - Scourge of the Universe,Kirby's Return to Dream Land - Waterworks Area,,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Kirby's Return to Dream Land - Waterworks Area,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,,Terraria Calamity - Scourge of the Universe,Kirby's Return to Dream Land - Waterworks Area,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Kirby's Return to Dream Land - Waterworks Area,Kirby's Return to Dream Land - Waterworks Area,Kirby's Return to Dream Land - Waterworks Area,,Terraria Calamity - Scourge of the Universe,Kirby's Return to Dream Land - Waterworks Area,Terraria Calamity - Scourge of the Universe,,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,,Kirby's Return to Dream Land - Waterworks Area,,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,,Kirby's Return to Dream Land - Waterworks Area,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,,Terraria Calamity - Scourge of the Universe,Kirby's Return to Dream Land - Waterworks Area,Terraria Calamity - Scourge of the Universe,,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,Terraria Calamity - Scourge of the Universe,,
