Name1,Name2,Strength,Shared
_LouieG_,_Harmonica_,0.667,3
Advokaiser,_Harmonica_,0.4,15
Advokaiser,_LouieG_,0.2,5
Akkrillic,_Harmonica_,0.333,12
Akkrillic,_LouieG_,0.4,5
Akkrillic,Advokaiser,0.583,151
Arti,_Harmonica_,0.667,15
Arti,_LouieG_,0.4,5
Arti,Advokaiser,0.535,170
Arti,Akkrillic,0.483,143
azuarc,_Harmonica_,0.692,13
azuarc,_LouieG_,0.2,5
azuarc,Advokaiser,0.582,184
azuarc,Akkrillic,0.572,145
azuarc,Arti,0.546,163
Baconus_Yum,_Harmonica_,0.6,15
Baconus_Yum,_LouieG_,0.4,5
Baconus_Yum,Advokaiser,0.503,157
Baconus_Yum,Akkrillic,0.597,129
Baconus_Yum,Arti,0.525,141
Baconus_Yum,azuarc,0.682,151
banananor,_Harmonica_,0,0
banananor,_LouieG_,0,0
banananor,Advokaiser,1,1
banananor,Akkrillic,0,1
banananor,Arti,0,1
banananor,azuarc,0,1
banananor,Baconus_Yum,0,1
banshiryuu,_Harmonica_,0.2,15
banshiryuu,_LouieG_,0.6,5
banshiryuu,Advokaiser,0.56,191
banshiryuu,Akkrillic,0.603,151
banshiryuu,Arti,0.424,170
banshiryuu,azuarc,0.5,184
banshiryuu,Baconus_Yum,0.541,157
banshiryuu,banananor,0,1
barreldragon88,_Harmonica_,0,0
barreldragon88,_LouieG_,0,0
barreldragon88,Advokaiser,0,2
barreldragon88,Akkrillic,0,1
barreldragon88,Arti,1,1
barreldragon88,azuarc,0,2
barreldragon88,Baconus_Yum,0,1
barreldragon88,banananor,0,0
barreldragon88,banshiryuu,0,2
ben10kenobi,_Harmonica_,0.667,6
ben10kenobi,_LouieG_,0,0
ben10kenobi,Advokaiser,0.667,9
ben10kenobi,Akkrillic,0.714,7
ben10kenobi,Arti,0.556,9
ben10kenobi,azuarc,0.714,7
ben10kenobi,Baconus_Yum,0.667,9
ben10kenobi,banananor,0,1
ben10kenobi,banshiryuu,0.667,9
ben10kenobi,barreldragon88,0,0
Bluenugget64,_Harmonica_,0.4,15
Bluenugget64,_LouieG_,0.4,5
Bluenugget64,Advokaiser,0.605,177
Bluenugget64,Akkrillic,0.571,140
Bluenugget64,Arti,0.513,156
Bluenugget64,azuarc,0.524,170
Bluenugget64,Baconus_Yum,0.553,150
Bluenugget64,banananor,0,0
Bluenugget64,banshiryuu,0.582,177
Bluenugget64,barreldragon88,0,2
Bluenugget64,ben10kenobi,0.5,8
bwburke94,_Harmonica_,0,8
bwburke94,_LouieG_,0.333,3
bwburke94,Advokaiser,0.5,8
bwburke94,Akkrillic,0.875,8
bwburke94,Arti,0.25,8
bwburke94,azuarc,0.375,8
bwburke94,Baconus_Yum,0.5,8
bwburke94,banananor,0,0
bwburke94,banshiryuu,0.875,8
bwburke94,barreldragon88,0,0
bwburke94,ben10kenobi,0,2
bwburke94,Bluenugget64,0.75,8
cakophon,_Harmonica_,0.4,15
cakophon,_LouieG_,1,5
cakophon,Advokaiser,0.439,171
cakophon,Akkrillic,0.542,131
cakophon,Arti,0.387,150
cakophon,azuarc,0.388,165
cakophon,Baconus_Yum,0.438,137
cakophon,banananor,0,1
cakophon,banshiryuu,0.678,171
cakophon,barreldragon88,0,2
cakophon,ben10kenobi,0.333,9
cakophon,Bluenugget64,0.694,157
cakophon,bwburke94,0.625,8
Chuck_Tingle,_Harmonica_,0.667,3
Chuck_Tingle,_LouieG_,0.333,3
Chuck_Tingle,Advokaiser,0.667,3
Chuck_Tingle,Akkrillic,0.333,3
Chuck_Tingle,Arti,0.333,3
Chuck_Tingle,azuarc,0.667,3
Chuck_Tingle,Baconus_Yum,0.333,3
Chuck_Tingle,banananor,0,0
Chuck_Tingle,banshiryuu,0.667,3
Chuck_Tingle,barreldragon88,0,0
Chuck_Tingle,ben10kenobi,0,0
Chuck_Tingle,Bluenugget64,0.333,3
Chuck_Tingle,bwburke94,0.333,3
Chuck_Tingle,cakophon,0.333,3
Collen,_Harmonica_,0.4,15
Collen,_LouieG_,0.8,5
Collen,Advokaiser,0.455,191
Collen,Akkrillic,0.636,151
Collen,Arti,0.394,170
Collen,azuarc,0.527,184
Collen,Baconus_Yum,0.503,157
Collen,banananor,1,1
Collen,banshiryuu,0.602,191
Collen,barreldragon88,0.5,2
Collen,ben10kenobi,0.333,9
Collen,Bluenugget64,0.503,177
Collen,bwburke94,0.75,8
