Votes,Unique,Game,Song,Link,-hotdogturtle--,Akkrillic,Arti,azuarc,Baconus_Yum,banshiryuu,Bluenugget64,Bossman_Coolguy,cakophon,Chuck_Tingle,Collen,DireKrow,dowolf,DragonImps,FL81,Flamander,GameBopAdv,handsomeboy2012,Haste_2,HBJDubs,Hbthebattle,Janus5k,JONALEON1,KanzarisKelshen,kaonashi1,KCF0107,Kikoman589,loweffortmemes,Mac Arrowny,MadamEglat,missadelyn,MoonRunes,NFUN,PabloSmith,PIayer_0,Place,Plasman,Prody Parrot,pyresword,Raetsel_Lapin,rwlh,RySenkari,sergiocornaga,Snake5555555555,tazzyboyishere,Team Rocket Elite,tennisboy213,TheArkOfTurus,Tked,Toxtricity,trdl23,TsunamiXXVIII,UF8,xarlable,xp1337,ZelRaat,Zigzagoon,Zyxyz0
2,2,Splatoon 2,Shooting Starfish,https://www.youtube.com/watch?v=gTlFgWo1mIQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Splatoon 2,#8 regret,https://www.youtube.com/watch?v=o5NlMBW_0M4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Pizza Tower,Cold Spaghetti,https://www.youtube.com/watch?v=d4CsFyp4FRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,Kirby's Return to Dream Land,Waterworks Area,https://www.youtube.com/watch?v=2OIwPKnalzE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,Drift Stage,Zadok,https://youtu.be/04JrAnWnN5k,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,3,Arkanoid DS,too much funky,https://www.youtube.com/watch?v=J3iP3lmZAa8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,3,Arcaea,AI[UE]OON,https://www.youtube.com/watch?v=x2B1PQn_UC0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,Baba Is You,Tree Is Shift - Deep forest,https://www.youtube.com/watch?v=AgYFUjsu5tU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,Pizza Tower,Spaghetti,https://www.youtube.com/watch?v=3-pQ9y6RevY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Kirby's Dream Land 3,Sand Canyon 3,https://www.youtube.com/watch?v=GEiJzuXYZ98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,We Love Katamari,DISCO PRINCE,https://www.youtube.com/watch?v=xDXTY8kugjA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,SimCity 4,ElectriCITY,https://www.youtube.com/watch?v=S6Pg0j_k3_o,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Fantavision (NA),Stage 8 - Beyond Infinity,https://www.youtube.com/watch?v=ETzUP9MwHO0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Chrono Cross,Plains of Time (Home World),https://www.youtube.com/watch?v=jOD0Sfds0ZI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Minit,Alarming Swamp,https://www.youtube.com/watch?v=HSd1kRPJyBw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
