Name,Matches,Strength
_Harmonica_,15,0.47
_LouieG_,5,0.6
Advokaiser,191,0.66
Akkrillic,151,0.66
Arti,170,0.52
azuarc,184,0.55
Baconus_Yum,157,0.59
banananor,1,0
banshiryuu,191,0.66
barreldragon88,2,0
ben10kenobi,9,0.89
Bluenugget64,177,0.68
bwburke94,8,0.63
cakophon,171,0.64
Chuck_Tingle,3,0.67
Collen,191,0.53
DM_DOKURO,18,0.78
dowolf,191,0.65
DragonImps,191,0.59
FL81,191,0.57
Flamander,188,0.6
GameBopAdv,191,0.6
greengravy294,1,1
handsomeboy2012,120,0.62
Haste_2,184,0.6
HBJDubs,157,0.53
Hbthebattle,65,0.63
-hotdogturtle--,15,0.33
Hydras,2,0.5
Janus5k,191,0.6
Johnbobb,3,0.33
JONALEON1,191,0.59
junk_funk,6,0.33
kaonashi1,186,0.59
KCF0107,191,0.52
KommunistKoala,11,0.64
LOLIAmAnAlt,2,1
Lopen,16,0.63
Lord Bob Bree,21,0.57
LordoftheMorons,3,0.67
loweffortmemes,191,0.67
Mac Arrowny,191,0.65
malyg,184,0.51
MargaretAnnMid,63,0.6
MartinFF7,3,0.67
MC_XD,191,0.62
MoonRunes,188,0.63
Mr Lasastryke,68,0.57
MrSmartGuy,5,0.6
MycroProcessor,191,0.6
MZero11,2,1
NFUN,165,0.66
NioraptH,2,0
Pablo Smith,2,0.5
paulg235,2,0.5
PIayer_0,189,0.58
pjbasis,3,1
Place,180,0.61
Plasman,9,0.67
Popcorn_Fairy,21,0.57
PrinceKaro,6,0.83
Prody Parrot,189,0.69
PSI_NESS,191,0.5
pyresword,158,0.49
Raetsel_Lapin,191,0.54
rwlh,191,0.55
RySenkari,15,0.47
Sceptilesolar,191,0.7
Sheep007,1,1
Shonen_Bat,51,0.53
slykirby,168,0.57
Snake5555555555,64,0.63
SuperNiceDog,96,0.57
tazzyboyishere,6,0.33
Team Rocket Elite,182,0.57
tennisboy213,191,0.48
th3l3fty,191,0.65
TheArkOfTurus,191,0.66
Tramalfadorian,3,0.67
trdl23,15,0.8
TsunamiXXVIII,139,0.58
Tulip_OHare,9,0.44
UF8,171,0.56
Underleveled,1,0
Unmi,6,0.17
Xiahou Shake,6,0.83
xp1337,191,0.61
Xuxon,160,0.49
xx521xx,191,0.54
Zigzagoon,70,0.63
Zyxyz0,46,0.63
