Votes,Unique,Game,Song,Link,-hotdogturtle--,Akkrillic,Arti,azuarc,banshiryuu,barreldragon88,bebr117,cakophon,Chaeix,Chuck_Tingle,Collen,DanKirby,DeadTaffer,DireKrow,Disillusion,DoctorJimmy133,DoctorJugaJuga,dowolf,Earthshaker,FireFallsMusic,FL81,Flamander,GameBopAdv,GinNoIshi,HasteDeux,HBJDubs,Hbthebattle,HidekuniHorita,IhatethisCPU,Janus5k,JONALEON1,JoshuaAstray,kamakazikila,KanzarisKelshen,kaonashi1,KCF0107,KidDivinegon,Lightning Strikes,loweffortmemes,Mac Arrowny,Mihark,MoonRunes,neothewoodman,NFUN,PabloSmith,PIayer_0,Place,Plasman,Prody Parrot,pyresword,quantumB,R-Man,Raetsel_Lapin,RevolverAxolot,rwlh,sergiocornaga,ShouldIBe,skulltrumpets,slykirby,Snajed,Snake5555555555,tazzyboyishere,Team Rocket Elite,tennisboy213,tgs2,th3l3fty,TheArkOfTurus,Tked,Toxtricity,trdl23,UF8,Wolt,Xarnax42,xp1337,xx521xx,yhenestik,ZelRaat,Zigzagoon,_LouieG_
2,2,Pokemon Sword,Klara,https://www.youtube.com/watch?v=F1xCpFzyF2Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,Team Kirby Clash Deluxe,Vs. King D-Mind,https://www.youtube.com/watch?v=ckMM-_CiQPU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Splatoon 2,Seasick,https://www.youtube.com/watch?v=YIdFmJ6mCmU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Sonic Adventure 2,Supporting Me,https://www.youtube.com/watch?v=OkZ2oWFy-IM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,Einhander,Madness,https://www.youtube.com/watch?v=fakKuXyp470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,1,We Love Katamari,La Morena Kumonai,https://www.youtube.com/watch?v=oAT2HGyvJwE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Ninjala,Surge Hazard,https://www.youtube.com/watch?v=6XZPl-aJvW4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Border Down,Fleet Game [STAGE 3RY],https://www.youtube.com/watch?v=cr785rYE9fk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Spark the Electric Jester,Megaraph Fortress,https://www.youtube.com/watch?v=Gbi4lpLIa6w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,Gurumin,The Mysterious Phantom Egg,https://www.youtube.com/watch?v=5aFehao3DQw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
