ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,akk,ama,andy,arti,azu,barrel,bebr,cako,cap,chaeix,chaos,collen,crest,dan,dem,deo,devi,dire,dis,dowolf,dragon,drj133,ema,fivda,fl81,flam,gall,gba,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,kama,kcf,kid,koala,korji,lasa,lefty,lem,mac,marg,mark,max,mega,mihark,moon,mzero,nfun,orange,p0,pablo,para,pixel,place,plas,pony,prince,prod,prody,pyre,rev,rika,rwlh,sceptile,sergio,shark,skull,sly,taffer,tazzy,tennis,tgs,tked,tre,tunnel,turus,uf8,wave,xx521,yhen,zel
1,Title BGM,Northeast Frost Street,23,50,73,27,Northeast Frost Street,,Title BGM,,Northeast Frost Street,Northeast Frost Street,Title BGM,Title BGM,,Northeast Frost Street,,,,Northeast Frost Street,,Northeast Frost Street,Title BGM,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Title BGM,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Title BGM,Northeast Frost Street,Northeast Frost Street,Title BGM,Title BGM,Northeast Frost Street,Northeast Frost Street,Title BGM,Northeast Frost Street,Title BGM,Northeast Frost Street,Title BGM,Northeast Frost Street,Northeast Frost Street,,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Title BGM,Title BGM,Title BGM,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,,,Northeast Frost Street,,Title BGM,Title BGM,Title BGM,,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Title BGM,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Title BGM,Northeast Frost Street,Title BGM,Title BGM,Title BGM,,Northeast Frost Street,Northeast Frost Street,Title BGM,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,,Northeast Frost Street,,Northeast Frost Street
2,Menu,Kobito of the Shining Needle ~ Little Princess,34,40,74,6,Kobito of the Shining Needle ~ Little Princess,,Kobito of the Shining Needle ~ Little Princess,,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,,Menu,,,,Menu,,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Menu,Kobito of the Shining Needle ~ Little Princess,Menu,Menu,Menu,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Menu,Menu,Menu,Kobito of the Shining Needle ~ Little Princess,Menu,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Menu,Menu,Kobito of the Shining Needle ~ Little Princess,Menu,Kobito of the Shining Needle ~ Little Princess,Menu,,Menu,Kobito of the Shining Needle ~ Little Princess,Menu,,Kobito of the Shining Needle ~ Little Princess,Menu,Menu,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Menu,Menu,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,,,Menu,,Kobito of the Shining Needle ~ Little Princess,Menu,Menu,,Menu,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Menu,Kobito of the Shining Needle ~ Little Princess,Menu,,Menu,Kobito of the Shining Needle ~ Little Princess,Menu,Menu,Kobito of the Shining Needle ~ Little Princess,Menu,Kobito of the Shining Needle ~ Little Princess,Menu,Kobito of the Shining Needle ~ Little Princess,,Kobito of the Shining Needle ~ Little Princess,Menu,Kobito of the Shining Needle ~ Little Princess,Menu,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Menu,Kobito of the Shining Needle ~ Little Princess,,Kobito of the Shining Needle ~ Little Princess
3,Vs. Gullveig (Book VII Boss),MNN+@0・(Day),16,56,72,40,MNN+@0・(Day),,Vs. Gullveig (Book VII Boss),,MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),,Vs. Gullveig (Book VII Boss),,,,Vs. Gullveig (Book VII Boss),,MNN+@0・(Day),,Vs. Gullveig (Book VII Boss),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),Vs. Gullveig (Book VII Boss),MNN+@0・(Day),Vs. Gullveig (Book VII Boss),MNN+@0・(Day),Vs. Gullveig (Book VII Boss),MNN+@0・(Day),Vs. Gullveig (Book VII Boss),MNN+@0・(Day),MNN+@0・(Day),Vs. Gullveig (Book VII Boss),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),Vs. Gullveig (Book VII Boss),,MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),,MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),,,MNN+@0・(Day),,MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),,Vs. Gullveig (Book VII Boss),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),,MNN+@0・(Day),MNN+@0・(Day),,MNN+@0・(Day),Vs. Gullveig (Book VII Boss),MNN+@0・(Day),Vs. Gullveig (Book VII Boss),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),,MNN+@0・(Day),Vs. Gullveig (Book VII Boss),MNN+@0・(Day),Vs. Gullveig (Book VII Boss),MNN+@0・(Day),Vs. Gullveig (Book VII Boss),MNN+@0・(Day),MNN+@0・(Day),,MNN+@0・(Day)
4,Temple of Drifting Sands,SINGI (Remix),36,31,67,5,Temple of Drifting Sands,,Temple of Drifting Sands,,Temple of Drifting Sands,Temple of Drifting Sands,Temple of Drifting Sands,Temple of Drifting Sands,,SINGI (Remix),,,,Temple of Drifting Sands,,Temple of Drifting Sands,Temple of Drifting Sands,SINGI (Remix),Temple of Drifting Sands,Temple of Drifting Sands,SINGI (Remix),Temple of Drifting Sands,SINGI (Remix),SINGI (Remix),SINGI (Remix),Temple of Drifting Sands,SINGI (Remix),,Temple of Drifting Sands,,SINGI (Remix),,SINGI (Remix),Temple of Drifting Sands,Temple of Drifting Sands,SINGI (Remix),SINGI (Remix),Temple of Drifting Sands,SINGI (Remix),SINGI (Remix),SINGI (Remix),Temple of Drifting Sands,Temple of Drifting Sands,Temple of Drifting Sands,,,,Temple of Drifting Sands,SINGI (Remix),Temple of Drifting Sands,SINGI (Remix),Temple of Drifting Sands,SINGI (Remix),SINGI (Remix),,,,SINGI (Remix),,Temple of Drifting Sands,Temple of Drifting Sands,Temple of Drifting Sands,,Temple of Drifting Sands,SINGI (Remix),SINGI (Remix),Temple of Drifting Sands,Temple of Drifting Sands,SINGI (Remix),Temple of Drifting Sands,,SINGI (Remix),,SINGI (Remix),Temple of Drifting Sands,SINGI (Remix),Temple of Drifting Sands,SINGI (Remix),Temple of Drifting Sands,,,SINGI (Remix),Temple of Drifting Sands,SINGI (Remix),Temple of Drifting Sands,Temple of Drifting Sands,SINGI (Remix),Temple of Drifting Sands,SINGI (Remix),,SINGI (Remix)
5,Alien,Samsara,33,36,69,3,Samsara,,Alien,,Samsara,Alien,Alien,Samsara,,Alien,,,,Alien,,Samsara,Samsara,Samsara,Samsara,Alien,Samsara,Samsara,Alien,Alien,Alien,Alien,Samsara,,Alien,Samsara,Alien,,Samsara,Samsara,Alien,Alien,Samsara,Alien,Samsara,Samsara,Alien,Alien,Samsara,Alien,,,,Samsara,Samsara,Alien,Samsara,Alien,Alien,Alien,,,,Samsara,,Samsara,Samsara,Alien,,Alien,Samsara,Samsara,Alien,Samsara,Samsara,Alien,,Samsara,Alien,Alien,Samsara,Samsara,Alien,Alien,Samsara,,,Samsara,Samsara,Alien,Samsara,Samsara,Alien,Samsara,Samsara,,Alien
6,MOONMAN'S Fandango,Techno Syndrome,31,40,71,9,Techno Syndrome,,MOONMAN'S Fandango,,Techno Syndrome,Techno Syndrome,Techno Syndrome,Techno Syndrome,,MOONMAN'S Fandango,,,,Techno Syndrome,,MOONMAN'S Fandango,MOONMAN'S Fandango,Techno Syndrome,Techno Syndrome,Techno Syndrome,MOONMAN'S Fandango,Techno Syndrome,Techno Syndrome,MOONMAN'S Fandango,Techno Syndrome,MOONMAN'S Fandango,Techno Syndrome,,Techno Syndrome,MOONMAN'S Fandango,Techno Syndrome,MOONMAN'S Fandango,Techno Syndrome,Techno Syndrome,MOONMAN'S Fandango,Techno Syndrome,MOONMAN'S Fandango,MOONMAN'S Fandango,Techno Syndrome,MOONMAN'S Fandango,Techno Syndrome,MOONMAN'S Fandango,MOONMAN'S Fandango,Techno Syndrome,,,,Techno Syndrome,MOONMAN'S Fandango,Techno Syndrome,Techno Syndrome,Techno Syndrome,Techno Syndrome,MOONMAN'S Fandango,,,,MOONMAN'S Fandango,,Techno Syndrome,Techno Syndrome,MOONMAN'S Fandango,,Techno Syndrome,Techno Syndrome,MOONMAN'S Fandango,MOONMAN'S Fandango,Techno Syndrome,MOONMAN'S Fandango,Techno Syndrome,,MOONMAN'S Fandango,Techno Syndrome,MOONMAN'S Fandango,MOONMAN'S Fandango,Techno Syndrome,Techno Syndrome,Techno Syndrome,MOONMAN'S Fandango,Techno Syndrome,,Techno Syndrome,Techno Syndrome,Techno Syndrome,MOONMAN'S Fandango,MOONMAN'S Fandango,MOONMAN'S Fandango,Techno Syndrome,MOONMAN'S Fandango,,MOONMAN'S Fandango
7,Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),41,25,66,16,Purple Town,,Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),,,Purple Town,,,,Purple Town,,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Purple Town,Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),,Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Purple Town,Purple Town,Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Purple Town,Purple Town,Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Purple Town,Purple Town,Purple Town,Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),,,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Purple Town,Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Purple Town,Purple Town,,,,Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Purple Town,Purple Town,Purple Town,Purple Town,,Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Purple Town,,Purple Town,,,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Purple Town,Purple Town,Purple Town,Purple Town,Purple Town,,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),,Purple Town,Purple Town,Battlefield - The First Campaign (Etrian Odyssey Nexus Ver.),Purple Town,Purple Town,Purple Town,,Purple Town,,Purple Town
8,HODO,Yeehaw DeliveryBoy,42,23,65,19,HODO,,Yeehaw DeliveryBoy,Yeehaw DeliveryBoy,HODO,HODO,HODO,HODO,,HODO,,,,HODO,,Yeehaw DeliveryBoy,,HODO,Yeehaw DeliveryBoy,Yeehaw DeliveryBoy,HODO,HODO,,HODO,,HODO,HODO,,Yeehaw DeliveryBoy,,HODO,HODO,Yeehaw DeliveryBoy,Yeehaw DeliveryBoy,HODO,Yeehaw DeliveryBoy,Yeehaw DeliveryBoy,HODO,Yeehaw DeliveryBoy,HODO,HODO,HODO,HODO,Yeehaw DeliveryBoy,,,HODO,HODO,HODO,Yeehaw DeliveryBoy,HODO,Yeehaw DeliveryBoy,HODO,Yeehaw DeliveryBoy,,,,HODO,Yeehaw DeliveryBoy,HODO,Yeehaw DeliveryBoy,HODO,HODO,HODO,,Yeehaw DeliveryBoy,Yeehaw DeliveryBoy,HODO,,HODO,,,HODO,HODO,HODO,HODO,HODO,Yeehaw DeliveryBoy,,Yeehaw DeliveryBoy,,Yeehaw DeliveryBoy,Yeehaw DeliveryBoy,HODO,HODO,HODO,HODO,,HODO,,HODO
9,Moonlight Concert,Origin,35,33,68,2,Moonlight Concert,,Origin,Origin,Origin,Moonlight Concert,Origin,Origin,,Moonlight Concert,,,,Moonlight Concert,,Origin,Moonlight Concert,Origin,Origin,Moonlight Concert,Moonlight Concert,Moonlight Concert,,Moonlight Concert,,Moonlight Concert,Moonlight Concert,,Moonlight Concert,Origin,Origin,Origin,Origin,Origin,Moonlight Concert,Origin,Origin,Moonlight Concert,Origin,Moonlight Concert,Origin,Moonlight Concert,Origin,Origin,,,Origin,Moonlight Concert,Moonlight Concert,Moonlight Concert,Origin,Origin,Moonlight Concert,Moonlight Concert,,,,Origin,Moonlight Concert,Moonlight Concert,Moonlight Concert,Moonlight Concert,Moonlight Concert,Moonlight Concert,,Origin,Moonlight Concert,Moonlight Concert,,Moonlight Concert,,,Moonlight Concert,Origin,Moonlight Concert,Origin,Moonlight Concert,Origin,Origin,Origin,,Origin,Origin,Moonlight Concert,Moonlight Concert,Moonlight Concert,Origin,,Origin,,Moonlight Concert
10,The Synapse - Ambient,Utopia Shelter - In the Depths,42,26,68,16,The Synapse - Ambient,,The Synapse - Ambient,,The Synapse - Ambient,The Synapse - Ambient,Utopia Shelter - In the Depths,Utopia Shelter - In the Depths,,,,,The Synapse - Ambient,The Synapse - Ambient,,The Synapse - Ambient,The Synapse - Ambient,The Synapse - Ambient,The Synapse - Ambient,Utopia Shelter - In the Depths,Utopia Shelter - In the Depths,The Synapse - Ambient,,The Synapse - Ambient,The Synapse - Ambient,Utopia Shelter - In the Depths,The Synapse - Ambient,,Utopia Shelter - In the Depths,,Utopia Shelter - In the Depths,,The Synapse - Ambient,Utopia Shelter - In the Depths,The Synapse - Ambient,The Synapse - Ambient,Utopia Shelter - In the Depths,Utopia Shelter - In the Depths,Utopia Shelter - In the Depths,Utopia Shelter - In the Depths,The Synapse - Ambient,The Synapse - Ambient,The Synapse - Ambient,The Synapse - Ambient,,,Utopia Shelter - In the Depths,The Synapse - Ambient,The Synapse - Ambient,Utopia Shelter - In the Depths,The Synapse - Ambient,Utopia Shelter - In the Depths,Utopia Shelter - In the Depths,Utopia Shelter - In the Depths,,,,The Synapse - Ambient,The Synapse - Ambient,Utopia Shelter - In the Depths,The Synapse - Ambient,The Synapse - Ambient,Utopia Shelter - In the Depths,The Synapse - Ambient,Utopia Shelter - In the Depths,The Synapse - Ambient,The Synapse - Ambient,Utopia Shelter - In the Depths,,The Synapse - Ambient,,,The Synapse - Ambient,Utopia Shelter - In the Depths,The Synapse - Ambient,The Synapse - Ambient,The Synapse - Ambient,The Synapse - Ambient,The Synapse - Ambient,,,Utopia Shelter - In the Depths,The Synapse - Ambient,The Synapse - Ambient,Utopia Shelter - In the Depths,Utopia Shelter - In the Depths,Utopia Shelter - In the Depths,The Synapse - Ambient,The Synapse - Ambient,,The Synapse - Ambient
