Votes,Unique,Game,Song,Link,-Chaos-Zero-,-hotdogturtle--,andylt,Arti,azuarc,banshiryuu,barreldragon88,bebr117,cakophon,Chaeix,Chinballz,Collen,DanKirby,DeadTaffer,DEM1995,DeviDoesNothing,DireKrow,Disillusion,DoctorJimmy133,dowolf,Eggert,failgirlema,FL81,Fluttershy_Pony,GameBopAdv,Geckoeygecko,GhostyMega,handsomeboy2012,Haste_2,HBJDubs,Hbthebattle,HidekuniHorita,Huntmaster95,Isquen,Janus5k,JONA,junglegirl,kamakazikila,KCF0107,Kecleon352,Korji,LkProd,loweffortmemes,MacArrowny,MarkS2222222222,MaxGalactica,Mihark,MoonRunes,Neocrimson,OrangeCrush980,Paratroopa1,PIayer_0,Place,Plasman,Prince46,Prody_Parrot,pyresword,RevolverAxolot,rwlh,savageshark21,sergiocornaga,skulltrumpets,slykirby,Snake5555555555,TakahiroUnisuga,tazzyboyishere,TeamRocketElite,tgs2,th3l3fty,TheArkOfTurus,Tked,TunnelScene,UF8,Waveshine_2001,Xarnax42,xx521xx,Yack,ZelRaat
7,7,Tunic,Memories of Memories,https://youtu.be/c6lNAefHVsY?si=FUuXs3UALuIDFRdl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,beatmania IIDX 29 CastHour,Nocturnal 2097 (Long Version),https://youtu.be/aE6ks8ny-w0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,7,Xenoblade Chronicles,Mechonis Field,https://youtu.be/rLaKBotgQVw,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,Xenoblade Chronicles X,Black tar,https://youtu.be/UM0qbHq8Tvg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,7,Mad Rat Dead,MAD LAST WORLD,https://www.youtube.com/watch?v=iawJijWDP3s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,7,[-Aka-],Suna no Shiro -The Castle of Sand-,https://youtu.be/cH7ZgT1jNcM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
7,6,DDRMAX -Dance Dance Revolution 6thMix- CS,Kind Lady (Full Version),https://www.youtube.com/watch?v=5BbQSMTddVM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,6,Super Smash Bros. Brawl,Norfair,https://youtu.be/NNxZJmxHyQ8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,6,NieR,Kaine / Salvation,https://www.youtube.com/watch?v=XnOc_AD79cM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,Ys VI: The Ark of Napishtim,Black Ark Unveiled,https://youtu.be/bIdsFU71ZbY?si=VawYcKMeIV3Hr7OZ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
