ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,afrono,andy,arti,az,bane,barrel,bebr,bitto,boss,cako,chaeix,chaos,collen,dan,dem,deo,dire,dis,dowolf,drj133,ema,fl81,gall,gin,haste,hb,hbj,horita,hotdog,hunj,hunt,isquen,janus,jona,jungle,kama,kcf,kecleon,kong,korji,lasa,lefty,lem,lilly,mac,maple,mark,max,mega,mihark,monkey,neko,nfun,ogura,p0,para,place,plas,pony,prince,prod,prody,pyre,rwlh,sea,sergio,skull,sly,taff,tazzy,tgs,tked,tre,tunnel,turus,uf8,ulti,wave,xuxon,xx521,zel,zts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Resonance of Ray,AZISAI (Long ver.),33,31,64,2,Resonance of Ray,,Resonance of Ray,AZISAI (Long ver.),Resonance of Ray,Resonance of Ray,AZISAI (Long ver.),,,AZISAI (Long ver.),,,,Resonance of Ray,AZISAI (Long ver.),AZISAI (Long ver.),Resonance of Ray,,AZISAI (Long ver.),Resonance of Ray,AZISAI (Long ver.),Resonance of Ray,AZISAI (Long ver.),Resonance of Ray,Resonance of Ray,Resonance of Ray,Resonance of Ray,Resonance of Ray,Resonance of Ray,AZISAI (Long ver.),AZISAI (Long ver.),Resonance of Ray,AZISAI (Long ver.),AZISAI (Long ver.),Resonance of Ray,Resonance of Ray,AZISAI (Long ver.),,Resonance of Ray,AZISAI (Long ver.),,,Resonance of Ray,AZISAI (Long ver.),Resonance of Ray,AZISAI (Long ver.),,AZISAI (Long ver.),AZISAI (Long ver.),,AZISAI (Long ver.),AZISAI (Long ver.),Resonance of Ray,Resonance of Ray,,Resonance of Ray,,Resonance of Ray,AZISAI (Long ver.),AZISAI (Long ver.),Resonance of Ray,AZISAI (Long ver.),AZISAI (Long ver.),AZISAI (Long ver.),,Resonance of Ray,AZISAI (Long ver.),,AZISAI (Long ver.),Resonance of Ray,AZISAI (Long ver.),,Resonance of Ray,AZISAI (Long ver.),Resonance of Ray,AZISAI (Long ver.),Resonance of Ray,Resonance of Ray,AZISAI (Long ver.),,Resonance of Ray,Resonance of Ray,Resonance of Ray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,The King of Speed,Track 2,28,35,63,7,Track 2,,The King of Speed,The King of Speed,,The King of Speed,The King of Speed,,,Track 2,,,,Track 2,The King of Speed,The King of Speed,Track 2,,The King of Speed,The King of Speed,Track 2,Track 2,Track 2,The King of Speed,Track 2,Track 2,Track 2,Track 2,The King of Speed,Track 2,Track 2,Track 2,The King of Speed,The King of Speed,Track 2,The King of Speed,The King of Speed,,Track 2,The King of Speed,,,The King of Speed,The King of Speed,Track 2,The King of Speed,,Track 2,Track 2,,Track 2,The King of Speed,Track 2,Track 2,,Track 2,,,Track 2,Track 2,The King of Speed,The King of Speed,The King of Speed,Track 2,The King of Speed,Track 2,Track 2,,Track 2,Track 2,The King of Speed,,The King of Speed,Track 2,Track 2,The King of Speed,Track 2,Track 2,The King of Speed,,The King of Speed,Track 2,Track 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Title,Volcano,36,27,63,9,Title,,Title,Title,Volcano,Title,Title,,,Volcano,,,,Volcano,Volcano,Title,Volcano,,Title,Volcano,Title,Title,Title,Volcano,Title,Volcano,Volcano,Title,Volcano,Volcano,Title,Title,Title,Volcano,Title,Title,Title,,Title,Title,,,Volcano,Volcano,Title,Volcano,,Volcano,Volcano,,Volcano,Volcano,Title,Volcano,,Volcano,,,Title,Title,Volcano,Volcano,Volcano,Volcano,,Title,Volcano,,Title,Title,Title,,Volcano,Title,Title,Title,Title,Title,Title,,Title,Title,Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Kaze no Ne,Artaria (Frozen),46,12,58,34,Kaze no Ne,,,,Kaze no Ne,Kaze no Ne,Kaze no Ne,,,,Kaze no Ne,,,,Kaze no Ne,Kaze no Ne,Kaze no Ne,,Kaze no Ne,Kaze no Ne,Kaze no Ne,Kaze no Ne,,Kaze no Ne,Kaze no Ne,Kaze no Ne,Kaze no Ne,Artaria (Frozen),Kaze no Ne,Kaze no Ne,Artaria (Frozen),Artaria (Frozen),Artaria (Frozen),Kaze no Ne,Kaze no Ne,Kaze no Ne,Kaze no Ne,,Kaze no Ne,Artaria (Frozen),,,Kaze no Ne,Kaze no Ne,Kaze no Ne,Kaze no Ne,,Kaze no Ne,Kaze no Ne,,Kaze no Ne,Kaze no Ne,Kaze no Ne,Artaria (Frozen),Kaze no Ne,Artaria (Frozen),,,Kaze no Ne,,Kaze no Ne,Artaria (Frozen),Kaze no Ne,,,Kaze no Ne,Kaze no Ne,,Artaria (Frozen),Kaze no Ne,Kaze no Ne,,Artaria (Frozen),Kaze no Ne,Artaria (Frozen),Kaze no Ne,Artaria (Frozen),Kaze no Ne,Kaze no Ne,,Kaze no Ne,Kaze no Ne,Kaze no Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aria Math,,,,
5,Caves of Mul,"Scratch ""P""",40,18,58,22,Caves of Mul,,,,Caves of Mul,Caves of Mul,Caves of Mul,,,,Caves of Mul,,,,Caves of Mul,"Scratch ""P""","Scratch ""P""",,"Scratch ""P""",Caves of Mul,Caves of Mul,Caves of Mul,,"Scratch ""P""",Caves of Mul,Caves of Mul,Caves of Mul,"Scratch ""P""",Caves of Mul,Caves of Mul,"Scratch ""P""","Scratch ""P""","Scratch ""P""",Caves of Mul,Caves of Mul,"Scratch ""P""","Scratch ""P""",,Caves of Mul,"Scratch ""P""",,,Caves of Mul,Caves of Mul,Caves of Mul,Caves of Mul,,Caves of Mul,Caves of Mul,,Caves of Mul,Caves of Mul,Caves of Mul,Caves of Mul,Caves of Mul,Caves of Mul,,,Caves of Mul,,Caves of Mul,Caves of Mul,"Scratch ""P""",,,Caves of Mul,"Scratch ""P""",,"Scratch ""P""","Scratch ""P""",Caves of Mul,,Caves of Mul,Caves of Mul,"Scratch ""P""","Scratch ""P""","Scratch ""P""",Caves of Mul,Caves of Mul,,Caves of Mul,Caves of Mul,Caves of Mul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declaration! Imperial Floral Assault Group,Declaration! Imperial Floral Assault Group,,,
6,XIII. THE BUD,"Believe In Myself ...Theme of ""MILES""",32,24,56,8,XIII. THE BUD,,,,"Believe In Myself ...Theme of ""MILES""",XIII. THE BUD,"Believe In Myself ...Theme of ""MILES""",,,,XIII. THE BUD,,,,"Believe In Myself ...Theme of ""MILES""",XIII. THE BUD,"Believe In Myself ...Theme of ""MILES""",,XIII. THE BUD,"Believe In Myself ...Theme of ""MILES""","Believe In Myself ...Theme of ""MILES""",XIII. THE BUD,,XIII. THE BUD,XIII. THE BUD,XIII. THE BUD,XIII. THE BUD,XIII. THE BUD,"Believe In Myself ...Theme of ""MILES""","Believe In Myself ...Theme of ""MILES""",XIII. THE BUD,"Believe In Myself ...Theme of ""MILES""","Believe In Myself ...Theme of ""MILES""","Believe In Myself ...Theme of ""MILES""","Believe In Myself ...Theme of ""MILES""","Believe In Myself ...Theme of ""MILES""",XIII. THE BUD,,XIII. THE BUD,XIII. THE BUD,,,"Believe In Myself ...Theme of ""MILES""",XIII. THE BUD,XIII. THE BUD,XIII. THE BUD,,XIII. THE BUD,"Believe In Myself ...Theme of ""MILES""",,XIII. THE BUD,XIII. THE BUD,"Believe In Myself ...Theme of ""MILES""",XIII. THE BUD,XIII. THE BUD,XIII. THE BUD,,,"Believe In Myself ...Theme of ""MILES""",,XIII. THE BUD,"Believe In Myself ...Theme of ""MILES""",XIII. THE BUD,,,"Believe In Myself ...Theme of ""MILES""",XIII. THE BUD,,XIII. THE BUD,"Believe In Myself ...Theme of ""MILES""","Believe In Myself ...Theme of ""MILES""",,,"Believe In Myself ...Theme of ""MILES""",,XIII. THE BUD,XIII. THE BUD,XIII. THE BUD,XIII. THE BUD,,"Believe In Myself ...Theme of ""MILES""",XIII. THE BUD,"Believe In Myself ...Theme of ""MILES""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lofty Castle (potato),Loneliness of the Caged Bird,20,41,61,21,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Lofty Castle (potato),Loneliness of the Caged Bird,Loneliness of the Caged Bird,,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,,Loneliness of the Caged Bird,Lofty Castle (potato),Loneliness of the Caged Bird,Lofty Castle (potato),,Loneliness of the Caged Bird,Lofty Castle (potato),Loneliness of the Caged Bird,,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Lofty Castle (potato),Loneliness of the Caged Bird,Lofty Castle (potato),Loneliness of the Caged Bird,Lofty Castle (potato),Loneliness of the Caged Bird,Lofty Castle (potato),Lofty Castle (potato),Loneliness of the Caged Bird,Lofty Castle (potato),Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Lofty Castle (potato),Lofty Castle (potato),,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Lofty Castle (potato),Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,Lofty Castle (potato),,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,,Loneliness of the Caged Bird,,,Lofty Castle (potato),Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,Lofty Castle (potato),Lofty Castle (potato),,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Lofty Castle (potato),Loneliness of the Caged Bird,Lofty Castle (potato),Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,,Lofty Castle (potato),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Intermediate Race (Stage3),Jade Chimes,25,38,63,13,Jade Chimes,,Jade Chimes,Jade Chimes,Jade Chimes,Jade Chimes,Jade Chimes,,,Intermediate Race (Stage3),Jade Chimes,,,Jade Chimes,Jade Chimes,Intermediate Race (Stage3),Intermediate Race (Stage3),,Jade Chimes,Jade Chimes,Jade Chimes,,,Jade Chimes,Intermediate Race (Stage3),Intermediate Race (Stage3),Jade Chimes,Jade Chimes,Jade Chimes,Intermediate Race (Stage3),Intermediate Race (Stage3),Intermediate Race (Stage3),Intermediate Race (Stage3),Jade Chimes,Intermediate Race (Stage3),Intermediate Race (Stage3),Intermediate Race (Stage3),,Jade Chimes,Intermediate Race (Stage3),,Intermediate Race (Stage3),Jade Chimes,Jade Chimes,Jade Chimes,Jade Chimes,,Jade Chimes,Intermediate Race (Stage3),,Jade Chimes,Intermediate Race (Stage3),Jade Chimes,,Jade Chimes,Jade Chimes,,Jade Chimes,Intermediate Race (Stage3),Intermediate Race (Stage3),,Intermediate Race (Stage3),Intermediate Race (Stage3),Jade Chimes,,Jade Chimes,Jade Chimes,,Intermediate Race (Stage3),Intermediate Race (Stage3),Jade Chimes,,Jade Chimes,Jade Chimes,Intermediate Race (Stage3),Jade Chimes,Intermediate Race (Stage3),Jade Chimes,Jade Chimes,,Jade Chimes,,Jade Chimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Title Screen (Aqua Vistas),"MAD RAT, DIE",36,26,62,10,Title Screen (Aqua Vistas),,Title Screen (Aqua Vistas),"MAD RAT, DIE",Title Screen (Aqua Vistas),"MAD RAT, DIE",Title Screen (Aqua Vistas),,,"MAD RAT, DIE",Title Screen (Aqua Vistas),,,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),,"MAD RAT, DIE","MAD RAT, DIE","MAD RAT, DIE",,,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),"MAD RAT, DIE","MAD RAT, DIE",Title Screen (Aqua Vistas),"MAD RAT, DIE",Title Screen (Aqua Vistas),"MAD RAT, DIE","MAD RAT, DIE",Title Screen (Aqua Vistas),"MAD RAT, DIE","MAD RAT, DIE",,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),,"MAD RAT, DIE",Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),,"MAD RAT, DIE",Title Screen (Aqua Vistas),,Title Screen (Aqua Vistas),"MAD RAT, DIE",Title Screen (Aqua Vistas),,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),,Title Screen (Aqua Vistas),"MAD RAT, DIE",,,Title Screen (Aqua Vistas),"MAD RAT, DIE",Title Screen (Aqua Vistas),,Title Screen (Aqua Vistas),"MAD RAT, DIE",,Title Screen (Aqua Vistas),"MAD RAT, DIE","MAD RAT, DIE",,Title Screen (Aqua Vistas),"MAD RAT, DIE",Title Screen (Aqua Vistas),"MAD RAT, DIE","MAD RAT, DIE","MAD RAT, DIE","MAD RAT, DIE",,Title Screen (Aqua Vistas),,Title Screen (Aqua Vistas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Porgy - Abyss,"Georgette Me, Georgette You",27,35,62,8,"Georgette Me, Georgette You",,"Georgette Me, Georgette You","Georgette Me, Georgette You",Porgy - Abyss,"Georgette Me, Georgette You",Porgy - Abyss,,,"Georgette Me, Georgette You",Porgy - Abyss,,"Georgette Me, Georgette You","Georgette Me, Georgette You","Georgette Me, Georgette You",Porgy - Abyss,Porgy - Abyss,,Porgy - Abyss,Porgy - Abyss,"Georgette Me, Georgette You","Georgette Me, Georgette You",,Porgy - Abyss,"Georgette Me, Georgette You","Georgette Me, Georgette You","Georgette Me, Georgette You",Porgy - Abyss,"Georgette Me, Georgette You",Porgy - Abyss,Porgy - Abyss,Porgy - Abyss,,"Georgette Me, Georgette You",Porgy - Abyss,"Georgette Me, Georgette You","Georgette Me, Georgette You",,"Georgette Me, Georgette You",Porgy - Abyss,,,"Georgette Me, Georgette You",Porgy - Abyss,Porgy - Abyss,"Georgette Me, Georgette You",,"Georgette Me, Georgette You",Porgy - Abyss,,"Georgette Me, Georgette You","Georgette Me, Georgette You","Georgette Me, Georgette You",,"Georgette Me, Georgette You",,,,Porgy - Abyss,Porgy - Abyss,"Georgette Me, Georgette You",Porgy - Abyss,"Georgette Me, Georgette You","Georgette Me, Georgette You","Georgette Me, Georgette You","Georgette Me, Georgette You",Porgy - Abyss,,Porgy - Abyss,Porgy - Abyss,"Georgette Me, Georgette You",,Porgy - Abyss,,Porgy - Abyss,"Georgette Me, Georgette You",Porgy - Abyss,"Georgette Me, Georgette You",Porgy - Abyss,,"Georgette Me, Georgette You",,"Georgette Me, Georgette You",,"Georgette Me, Georgette You",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
