Votes,Unique,Game,Song,Link,Bracket,-Chaos-Zero-,-hotdogturtle--,AcireExists,afrono,andylt,Arti,azuarc,banshiryuu,barreldragon88,bebr117,Bluenugget64,Bossman_Coolguy,cakophon,Chaeix,Chinballz,Collen,DanKirby,DeadTaffer,DEM1995,DireKrow,Disillusion,DoctorJimmy133,dowolf,Estpolis_Denki,failgirlema,FL81,Flamander,Fluttershy_Pony,Gall,GameBopAdv,GhostyMega,GinNoIshi,golden009,Haste_2,Hbthebattle,HidekuniHorita,Huntmaster95,Isquen,Janus5k,JONA,kamakazikila,kaonashi1,KCF0107,KokoroAkechi,lemonguy,LightningStrikes,LkProd,loweffortmemes,MacArrowny,maple_violet,MaxGalactica,Mihark,MoonRunes,NFUN,OrangeCrush980,PabloSmith,Paratroopa1,paulg235,PIayer_0,Place,Plasman,Prince46,Prody_Parrot,pyresword,Pyromide,rwlh,sergiocornaga,skulltrumpet,slykirby,taffingspy,tazzyboyishere,TeamRocketElite,tgs2,th3l3fty,TheArkOfTurus,Tked,TunnelScene,UF8,Waveshine_2001,White_Wing,Xarnax42,xx521xx,ZelRaat,Zigzagoon
9,6,Chrono Trigger,Schala's Theme,https://www.youtube.com/watch?v=bQ6kaNcsw4Q,C,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,6,Pokemon Trading Card Game,Club Master Duel!,https://www.youtube.com/watch?v=EgquXsqcWcM,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
8,7,Paper Mario: The Thousand-Year Door,Battle - Chapter 7,https://www.youtube.com/watch?v=KRMoVTD7Do8,D,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,Battle Garegga,Fly to the Leaden Sky,https://www.youtube.com/watch?v=4isjdAc_Paw,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,Castlevania: Portrait of Ruin,Hail from the Past,https://www.youtube.com/watch?v=pmd7w4GDobc,A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,7,Drakengard 3,The Final Song ~ Black Song White Scales,https://youtu.be/f49qsxE20dg,D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
7,7,Lamento -BEYOND THE VOID-,Poem of the Battle for Admiration,https://www.youtube.com/watch?v=NQbhhtQcwLY,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
7,7,Little Busters!,Ring Ring Ring!,https://www.youtube.com/watch?v=3R_sAFn0qKQ,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7,7,Pokemon Legends: Z-A,Lysandre Battle,https://www.youtube.com/watch?v=tI0H2r1Dp9A,D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,Uncharted Waters,Southern Twilight ~ Dance on the Cape of Good Hope,https://www.youtube.com/watch?v=kqXI9epy5TM,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
